Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),IPO Status,Acquired by,Acquired by URL,Operating Status,Website,Number of Employees,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Number of Funding Rounds,Top 5 Investors
Grab,https://www.crunchbase.com/organization/grabtaxi,"Car Sharing, Food Delivery, Ride Sharing, Transportation","Midview City, Central Region, Singapore","Grab is a super app that provides transportation, logistics and financial services.",12147750000,USD,12147750000,Private,,,Active,https://www.grab.com,10001+,2000000000,USD,2000000000,Debt Financing,32,"SoftBank, GGV Capital, Lightspeed Venture Partners, Microsoft, 500 Startups"
StashAway,https://www.crunchbase.com/organization/stashaway,"Financial Services, Personal Finance, Wealth Management","Singapore, Central Region, Singapore",StashAway is a wealth management platform that delivers personalized portfolio management to both retail and accredited investors.,35984124,USD,35984124,Private,,,Active,https://www.stashaway.sg/,101-250,16000000,USD,16000000,Series C,5,"Eight Roads Ventures, Square Peg Capital, Burda Principal Investments, Asia Capital & Advisors, Francis A. Rozario"
Boson Protocol,https://www.crunchbase.com/organization/redeemeum,"Blockchain, E-Commerce Platforms","Singapore, Central Region, Singapore",Boson Protocol is a foundational Web3 primitive that enables the Decentralized Autonomous Commerce Revolution.,3845718,USD,3845718,Private,,,Active,http://www.bosonprotocol.io,11-50,3000000,USD,3000000,Initial Coin Offering,6,"Outlier Ventures, Trent McConaghy"
Nium,https://www.crunchbase.com/organization/instarem,"Finance, Financial Services, FinTech","Singapore, Central Region, Singapore","Nium is an advanced global payments platform redefining how consumers and businesses can send, spend and receive funds around the world.",59000000,USD,59000000,Private,,,Active,https://www.nium.com/,251-500,,,,Series C,5,"Ripple, GSR Ventures, Visa, MDI Ventures, Global Founders Capital"
99.co,https://www.crunchbase.com/organization/99-co,"Internet, Real Estate, Real Estate Investment, Search Engine","Singapore, Central Region, Singapore","99.co is a map-based property search engine that provides renters, buyers, and agents fast and efficient property search experience.",33060000,USD,33060000,Private,,,Active,http://www.99.co,11-50,8000000,USD,8000000,Series C,6,"500 Startups, Sequoia Capital India, Allianz, Pegasus Tech Ventures, East Ventures"
Kyt,https://www.crunchbase.com/organization/kyt,"E-Learning, EdTech, Education","Singapore, Central Region, Singapore","Kyt is an Educational technology platform and global academy for extracurriculars, learning holistic education for every child.",7500000,USD,7500000,Private,,,Active,https://kyt.academy/,11-50,5000000,USD,5000000,Series A,2,"Titan Capital, Kunal Shah, Surge, Kunal Bahl, Amrish Rau"
Enjin,https://www.crunchbase.com/organization/enjin,"Content, Cryptocurrency, Identity Management, Video Games","Singapore, Central Region, Singapore",Enjin® is the largest social gaming website platform where true ownership of Digital Items through Blockchain Technology.,23000000,USD,23000000,Private,,,Active,https://enjincoin.io,11-50,,,,Series A,2,Blockchain.com Ventures
Insider,https://www.crunchbase.com/organization/useinsider,"Analytics, Artificial Intelligence, Big Data, Digital Marketing, Lead Management, SaaS, Software","Singapore, Central Region, Singapore","Insider is a growth management platform that helps digital marketers drive growth from acquisition to activation, retention, and revenue.",46100000,USD,46100000,Private,,,Active,https://useinsider.com/,501-1000,32000000,USD,32000000,Series C,6,"500 Startups, Sequoia Capital India, Endeavor Catalyst, Wamda Capital, Riverwood Capital"
Ninja Van,https://www.crunchbase.com/organization/ninja-van-2,"Delivery, Logistics, Transportation","Singapore, Central Region, Singapore",Ninja Van is a tech-enabled express delivery firm serving businesses across Southeast Asia.,196500000,USD,196500000,Private,,,Active,https://www.ninjavan.co/,501-1000,79000000,USD,79000000,Series D,5,"Grab, Monk’s Hill Ventures, B Capital Group, Golden Gate, Abraaj Group"
Kucoin,https://www.crunchbase.com/organization/kucoin,"Bitcoin, Blockchain, Cryptocurrency, Finance, Financial Exchanges","Singapore, Central Region, Singapore",KuCoin is a blockchain assets exchange where anyone can exchange bitcoin to other cryptocurrency and make more profit.,20000000,USD,20000000,Private,,,Active,https://www.kucoin.com/ucenter/signup?utm_source=crunchbase,51-100,20000000,USD,20000000,Series A,1,"Matrix Partners, IDG Capital, NEO Global Capital (NGC)"
CXA Group,https://www.crunchbase.com/organization/connexionsasia,"Artificial Intelligence, Employee Benefits, Fitness, Health Care, Information Technology, Wellness","Singapore, Central Region, Singapore",CXA is a AI-powered health and wellness eco-system.,58000000,USD,58000000,Private,,,Active,http://www.cxagroup.com,101-250,25000000,USD,25000000,Series C,3,"HSBC, MDI Ventures, B Capital Group, Openspace Ventures, EDBI"
Moglix,https://www.crunchbase.com/organization/moglix,"B2B, E-Commerce, Mobile","Singapore, Central Region, Singapore",Moglix is an e-commerce platform for industrial tools and equipment.,102208452,USD,102208452,Private,,,Active,http://www.moglix.com/,51-100,60000000,USD,60000000,Series D,6,"Sequoia Capital India, International Finance Corporation, Tiger Global Management, Bessemer Venture Partners, Accel"
iSTOX,https://www.crunchbase.com/organization/istox,"Blockchain, Financial Services, FinTech, Trading Platform","Singapore, Central Region, Singapore",iSTOX is a digital securities platform for private market investments,56888164,USD,56888164,Private,,,Active,https://www.istox.com/,51-100,66000000,SGD,48888164,Series A,4,"Singapore Exchange Limited, Hanwha Asset Management, Mobile Internet Capital, Heliconia Capital Management, Development Bank of Japan"
GreyOrange,https://www.crunchbase.com/organization/gogreyorange,"Hardware, Industrial Automation, Logistics, Robotics, Software","Singapore, Central Region, Singapore",GreyOrange is 600+ employee technology startup that is creating hardware & software products for warehousing industry.,170000000,USD,170000000,Private,,,Active,http://www.greyorange.com/,501-1000,,,,Venture - Series Unknown,6,"Flipkart, Tiger Global Management, Blume Ventures, InnoVen Capital, Mithril Capital Management"
SWAT Mobility,https://www.crunchbase.com/organization/swat-2,"Last Mile Transportation, Public Transportation, Ride Sharing, Transportation","Singapore, Central Region, Singapore","Singapore-based tech company specialising in demand-responsive shared transport, improving commutes for everyone.",12263720,USD,12263720,Private,,,Active,http://swatmobility.com/,51-100,,,,Venture - Series Unknown,4,"LKJ Capital Japan, Global Brain Corporation, UTEC- University of Tokyo Edge Capital, iGlobe Partners, EDBI"
ShopBack,https://www.crunchbase.com/organization/shopback,"Affiliate Marketing, Coupons, E-Commerce, Internet, Price Comparison, Shopping","Singapore, Central Region, Singapore",ShopBack is a digital loyalty and discovery platform e-commerce company offering a smarter way to shop.,86100000,USD,86100000,Private,,,Active,https://www.shopback.sg,251-500,30000000,USD,30000000,Series B,5,"Temasek Holdings, East Ventures, Softbank Ventures Asia, Rakuten, January Capital"
BIGO Technology,https://www.crunchbase.com/organization/bigo-technology,"Artificial Intelligence, Internet, Social Media","Singapore, Central Region, Singapore",BIGO is a fast-growing Singapore technology company specialising in AI technology.,272000000,USD,272000000,Private,JOYY,https://www.crunchbase.com/organization/yy-com,Active,https://www.bigo.tv/index,501-1000,272000000,USD,272000000,Series D,4,"5Y Capital, JOYY, Xueling Li, Ping An Overseas Holdings"
Zilingo,https://www.crunchbase.com/organization/zilingo,"E-Commerce, Internet, Mobile","Singapore, Central Region, Singapore",Zilingo is a commerce platform that is making the fashion and beauty supply chain more efficient through technology.,307880000,USD,307880000,Private,,,Active,https://zilingo.com/,501-1000,,,,Venture - Series Unknown,6,"Sequoia Capital, Sequoia Capital India, BEENEXT, Temasek Holdings, Amadeus Capital Partners"
Ocean Protocol,https://www.crunchbase.com/organization/ocean-protocol,"Big Data, Blockchain, Communities, Information Technology, Internet, Software","Singapore, Central Region, Singapore",Ocean Protocol is a decentralized data exchange protocol that lets people share and monetize data while...,28100000,USD,28100000,Private,,,Active,https://oceanprotocol.com/,51-100,6000000,USD,6000000,Initial Coin Offering,5,"IOSG Ventures, Zeroth.AI, Outlier Ventures, Visary Capital, Nodex Capital"
Biconomy,https://www.crunchbase.com/organization/biconomy,"Blockchain, Information Technology, Software","Singapore, Central Region, Singapore",Biconomy is a technology company building transaction infrastructure for next-generation Web 3 applications.,1500000,USD,1500000,Private,,,Active,https://biconomy.io,1-10,1500000,USD,1500000,Seed,2,"Binance Labs, Outlier Ventures, Eden Block, Digital Asset Capital Management, Fenbushi Capital"
ADVANCE.AI,https://www.crunchbase.com/organization/advance-ai,"Artificial Intelligence, Big Data, FinTech, Fraud Detection, Internet, Network Security","Singapore, Central Region, Singapore",ADVANCE.AI is a data-driven financial technology company with multiple offices in the APAC region.,136000000,USD,136000000,Private,,,Active,https://advance.ai/,1001-5000,,,,Series C,4,"GSR Ventures, ZhenFund, Gaorong Capital, Farallon Capital Management, Pavilion Capital"
RWDC Industries,https://www.crunchbase.com/organization/rwdc-industries,"Advanced Materials, Biotechnology","Singapore, Central Region, Singapore","RWDC Industries develops sustainable biodegradable solutions, with a focus on biodegradable, water-based coatings for paper-based packaging.",168000000,USD,168000000,Private,,,Active,http://rwdc-industries.com/,51-100,,,,Venture - Series Unknown,4,"FootPrint Coalition, WI Harper Group, Vickers Venture Partners, Flint Hills Resources, EverSource Capital"
Zluri,https://www.crunchbase.com/organization/zluri-96e5,SaaS,"Singapore, Central Region, Singapore",SaaS Management Platform for IT Teams,2000000,USD,2000000,Private,,,Active,https://www.zluri.com,11-50,2000000,USD,2000000,Seed,1,"Endiya Partners, Kalaari Capital"
Singlife,https://www.crunchbase.com/organization/singapore-life,"Finance, Financial Services, FinTech, Insurance, Life Insurance, Payments","Singapore, Central Region, Singapore",Singlife provides digital life insurance services.,173000000,USD,173000000,Private,,,Active,https://www.singlife.com/,51-100,90000000,USD,90000000,Corporate Round,5,"Aberdeen Standard Investments, IPGL, Aflac, Ion Pacific, Sumitomo Life Insurance Company"
Silent Eight,https://www.crunchbase.com/organization/silent-eight-search,"Artificial Intelligence, Financial Services, FinTech","Singapore, Central Region, Singapore",Silent Eight is a technology company leveraging AI to create custom compliance models for the world's leading financial institutions.,15000000,USD,15000000,Private,,,Active,http://www.silenteight.com/,11-50,8800000,USD,8800000,Series B,6,"Wavemaker Partners, OTB Ventures, SC Ventures, Singapore Angel Network, Boon Hwee Koh"
BlaBla,https://www.crunchbase.com/organization/blabla,"Apps, E-Learning, Education, Video, Video Editing","Singapore, Central Region, Singapore","BlaBla is a language learning app that makes learning a language engaging, fun, and mobile.",3130611,USD,3130611,Private,,,Active,https://www.blabla.app/,11-50,1500000,USD,1500000,Seed,4,"Wayra, Y Combinator, Amino Capital, Starling Ventures"
Singapore Airlines,https://www.crunchbase.com/organization/singapore-airlines,"Leisure, Transportation, Travel","Singapore, Central Region, Singapore",Singapore Airlines is a global company dedicated to providing air transportation services.,750000000,USD,750000000,Public,,,Active,http://www.singaporeair.com/,10001+,750000000,USD,750000000,Post-IPO Debt,1,
MatchMove Pay,https://www.crunchbase.com/organization/matchmove-pay,"Cloud Computing, E-Commerce, Financial Services, FinTech, Gift Card, Information Technology, Mobile Payments, Payments","Singapore, Central Region, Singapore",MatchMove Pay is Singapore’s fastest growing financial technology company providing innovative enterprise payments solutions,83376000,USD,83376000,Private,,,Active,https://www.matchmove.com,101-250,21000000,USD,21000000,Series C,10,"NTT Venture Capital, NTT DOCOMO Ventures, Vickers Venture Partners, Credit Saison, Iconic World Limited"
Ren,https://www.crunchbase.com/organization/republic-protocol,"Bitcoin, Cryptocurrency, Ethereum, Internet","Singapore, Central Region, Singapore",Ren is an open protocol that enables the movement of value between blockchains.,34000000,USD,34000000,Private,,,Active,https://renproject.io/,11-50,34000000,USD,34000000,Initial Coin Offering,2,"Polychain, FBG Capital, Huobi Capital, BlockVC, Limitless Crypto Investments"
Aspire,https://www.crunchbase.com/organization/aspire-singapore,"Banking, Financial Services, FinTech, Internet, Small and Medium Businesses","Singapore, Central Region, Singapore",#1 Business Neonank in SE Asia. Y-Combinator backed.,41500000,USD,41500000,Private,,,Active,https://aspireapp.com/,51-100,32500000,USD,32500000,Series A,3,"Y Combinator, Picus Capital, VentureSouq, Hummingbird Ventures, Insignia Ventures Partners"
Deskera,https://www.crunchbase.com/organization/deskera,"Accounting, Cloud Data Services, CRM, Enterprise Resource Planning (ERP), Enterprise Software, Human Resources, Project Management, Software","Singapore, Central Region, Singapore",Deskera is a cloud-based business software provider of Integrated Business Applications as a Service (BAaaS).,180000000,USD,180000000,Private,,,Active,https://www.deskera.com,251-500,100000000,USD,100000000,Series A,3,"SoftBank, Naver, Cisco Investments, InnoVen Capital, Susquehanna International Group (SIG)"
RedDoorz,https://www.crunchbase.com/organization/reddoorz,"Business Travel, Hospitality, Travel, Travel Accommodations, Travel Agency","Singapore, Central Region, Singapore",RedDoorz is transforming affordable accommodation in South East Asia through Tech,134400000,USD,134400000,Private,,,Active,https://www.reddoorz.com/,501-1000,70000000,USD,70000000,Series C,7,"500 Startups, International Finance Corporation, Qiming Venture Partners, InnoVen Capital, SIG China (SIG Asia Investments)"
ViSenze,https://www.crunchbase.com/organization/visenze,"Artificial Intelligence, E-Commerce, Image Recognition, Machine Learning, Visual Search","Singapore, Central Region, Singapore",ViSenze simplifies the visual web through artificial intelligence.,34000000,USD,34000000,Private,,,Active,http://www.visenze.com,11-50,20000000,USD,20000000,Series C,6,"Walden International, WI Harper Group, Rakuten, Gobi Partners, Singapore Press Holdings"
ZALORA Group,https://www.crunchbase.com/organization/zalora,"E-Commerce, Fashion, Shoes, Wearables","Singapore, Central Region, Singapore",ZALORA is an e-commerce platform and website that provides fashion and footwear products. ,238000000,USD,238000000,Private,,,Active,http://www.zalora.com,251-500,112000000,USD,112000000,Venture - Series Unknown,4,"Rocket Internet, Summit Partners, Kinnevik AB, Access Industries, TEV Ventures"
TaaS,https://www.crunchbase.com/organization/taas,"Bitcoin, Blockchain, Cryptocurrency, Information Services, Information Technology","Singapore, Central Region, Singapore",A closed-end fund dedicated entirely to Blockchain assets.,7700000,USD,7700000,Private,,,Active,https://taas.fund/,11-50,7700000,USD,7700000,Initial Coin Offering,1,
Homage,https://www.crunchbase.com/organization/homage,"Elder Care, Fitness, Health Care, Marketplace, Wellness","Singapore, Central Region, Singapore",Homage is a complete solution that combines technology and the best care professionals to enable seniors to age at home with dignity.,15350000,USD,15350000,Private,,,Active,http://www.homage.co,11-50,,,,Corporate Round,5,"500 Startups, SeedPlus, Golden Gate, EV Growth, Infocom"
Eruditus Executive Education,https://www.crunchbase.com/organization/eruditus-executive-education,"Continuing Education, EdTech, Education, Skill Assessment","Singapore, Central Region, Singapore",Eruditus collaborates with top universities to make executive education accessible globally.,163467983,USD,163467983,Private,,,Active,https://www.eruditus.com/,501-1000,113000000,USD,113000000,Series D,5,"Sequoia Capital India, Prosus Ventures, InnoVen Capital, Chan Zuckerberg Initiative, Bertelsmann India Investments"
Near,https://www.crunchbase.com/organization/nearco,"Analytics, Artificial Intelligence, Location Based Services, Marketing, SaaS","Singapore, Central Region, Singapore",Near is the world's largest source of intelligence on people and places.,134000000,USD,134000000,Private,,,Active,https://near.co,101-250,100000000,USD,100000000,Series D,5,"OurCrowd, Sequoia Capital India, Canaan Partners, Global Brain Corporation, Cisco Investments"
Speedoc,https://www.crunchbase.com/organization/speedoc,"Health Care, Home Health Care, Hospital, Information Technology, Medical, mHealth","Singapore, Central Region, Singapore",Speedoc is a virtual clinic and healthcare solutions platform that allows users to seek medical care and services from home.,6728175,USD,6728175,Private,,,Active,https://www.speedoc.com,11-50,5000000,USD,5000000,Series A,4,"Vertex Ventures Southeast Asia & India, Decacorn Capital, SMRT Ventures, Global Grand Leisure"
Thunes,https://www.crunchbase.com/organization/thunes,"Financial Services, FinTech, Mobile Payments, Payments","Singapore, Central Region, Singapore",Thunes offers a global cross-border payment network for seamless transfer of funds to 100 countries in 60 currencies.,70000000,USD,70000000,Private,,,Active,https://www.thunes.com/,101-250,60000000,USD,60000000,Series B,2,"Checkout.com, GGV Capital, Helios Investment Partners, Future Shape"
Capillary Technologies,https://www.crunchbase.com/organization/capillary-technologies-pvt,"Analytics, Enterprise Software, Retail, SaaS","Singapore, Central Region, Singapore",Capillary Technologies develops customized and cloud-based customer analytics marketing platforms for retailers and consumer businesses.,102100000,USD,102100000,Private,,,Active,http://www.capillarytech.com,1001-5000,,,,Private Equity,8,"Norwest Venture Partners, Sequoia Capital India, Qualcomm Ventures, American Express Ventures, InnoVen Capital"
Vauld,https://www.crunchbase.com/organization/bank-of-hodlers,"Banking, Blockchain, Cryptocurrency, FinTech, Payments","Singapore, Central Region, Singapore","Ean, borrow, and pay on the blockchain",2000000,USD,2000000,Private,,,Active,https://www.vauld.com/,11-50,2000000,USD,2000000,Seed,1,"Pantera Capital, Coinbase Ventures, Robot Ventures, CMT Digital Ventures, gumi Cryptos Capital"
Anchanto,https://www.crunchbase.com/organization/anchanto,"Business Intelligence, E-Commerce, Logistics, SaaS, Software","Singapore, Central Region, Singapore",Anchanto is a B2B (SaaS) company offering an eCommerce automation and logistics platform.,27209716,USD,27209716,Private,,,Active,http://www.anchanto.com,51-100,16600000,SGD,12109716,Series C,7,"MDI Ventures, TransCosmos, Singapore Angel Network, Luxasia, Asendia Management"
PropertyGuru Group,https://www.crunchbase.com/organization/propertyguru,"E-Commerce, Mobile Apps, Online Portals, Real Estate, Rental Property","Singapore, Central Region, Singapore",PropertyGuru Group is an online property company that operates rental and sale listing sites.,740000000,SGD,544443674,Private,,,Active,http://www.propertygurugroup.com,501-1000,300000000,SGD,220163287,Private Equity,6,"TPG, Kohlberg Kravis Roberts, Square Peg Capital, ImmobilienScout 24, Emtek Group"
PatSnap,https://www.crunchbase.com/organization/patsnap,"Analytics, Artificial Intelligence, Computer, Machine Learning, Pharmaceutical, Search Engine, Software","Singapore, Central Region, Singapore",PatSnap provides scientists with a new source of information for use during research.,51602005,USD,51602005,Private,,,Active,https://www.patsnap.com/,251-500,,,,Series D,5,"Temasek Holdings, Vertex Ventures, Sequoia Capital China, Summit Partners, Shunwei Capital"
TAIGER,https://www.crunchbase.com/organization/taiger,"Artificial Intelligence, Enterprise Software, Information Technology, Semantic Search","Singapore, Central Region, Singapore","Market leader and pioneer of Knowledge Process Optimization, specializing in automating complex cognitive tasks.",31281840,USD,31281840,Private,,,Active,http://www.taiger.com/,51-100,,,,Non-equity Assistance,4,"SGInnovate, MS&AD Ventures, PacificBridge Asset Management, Intelak Hub, Tembusu ICT Fund"
Beam,https://www.crunchbase.com/organization/ridebeam,"Electric Vehicle, Last Mile Transportation, Sharing Economy, Transportation","Singapore, Central Region, Singapore",Beam is a micromobility company that offers e-scooter rentals.,33400000,USD,33400000,Private,,,Active,https://www.ridebeam.com,101-250,26000000,USD,26000000,Series A,5,"Alumni Ventures Group, 500 Startups, Sequoia Capital India, ZhenFund, RTP Global"
TurtleTree Labs,https://www.crunchbase.com/organization/turtletree-labs,Biotechnology,"Singapore, Central Region, Singapore",TurtleTree Labs is a startup addressing the value gap created by an insufficient and unsustainable animal-based dairy industry.,9400000,USD,9400000,Private,,,Active,http://turtletreelabs.com,1-10,6200000,USD,6200000,Seed,6,"Artesian VC, Verso Capital, CPT Capital, KBW Ventures, XA Network"
Fave,https://www.crunchbase.com/organization/fave-59ea,"Advertising Platforms, Digital Marketing, E-Commerce, Financial Services, Loyalty Programs, Mobile Payments, Retail","Singapore, Central Region, Singapore","Digital Merchant Platform, Mobile Payment, Loyalty & Rewards, Merchant Acquirer, Digital Services",32000000,USD,32000000,Private,,,Active,https://favebiz.com/,251-500,,,,Corporate Round,4,"Sequoia Capital, Pine Labs, Sequoia Capital India, InnoVen Capital, SIG China (SIG Asia Investments)"
Doctor Anywhere,https://www.crunchbase.com/organization/doctor-anywhere,"Health Care, Hospital, Information Technology, Unified Communications","Singapore, Central Region, Singapore",Doctor Anywhere is a telehealth company .,31090583,USD,31090583,Private,,,Active,https://www.doctoranywhere.com/,11-50,27000000,USD,27000000,Series B,2,"Square Peg Capital, EDBI, Pavilion Capital, IHH Healthcare Berhad, Kamet Capital Partners"
RedMart,https://www.crunchbase.com/organization/redmart,"E-Commerce, Grocery, Internet, Shopping","Singapore, Central Region, Singapore",RedMart is a Singapore-based online supermarket that home-delivers groceries and essentials.,55100000,USD,55100000,Private,Lazada Group,https://www.crunchbase.com/organization/lazada-group,Active,https://www.redmart.com/,251-500,26700000,USD,26700000,Series C,7,"Sea, East Ventures, Softbank Ventures Asia, Golden Gate, Openspace Ventures"
Greenhouse.co,https://www.crunchbase.com/organization/greenhouse-cowork,"Communities, Consulting, Coworking, Professional Services","Singapore, Central Region, Singapore",Greenhouse is simplifying the process of business incorporation and market mobility in fast-growth markets.,5500000,SGD,3936775,Private,,,Active,https://greenhouse.co/,11-50,,,,Seed,3,"500 Startups, Deepak Chugani, Dilip Chugani"
Emeritus,https://www.crunchbase.com/organization/emeritus-institute-of-management,"Education, Higher Education","Singapore, Central Region, Singapore",Emeritus is an edtech company that partners with U.S. and European universities to provide online courses to working professionals globally,40000000,USD,40000000,Private,,,Active,http://www.emeritus.org,501-1000,40000000,USD,40000000,Series C,1,"Sequoia Capital India, Bertelsmann India Investments"
Celer Network,https://www.crunchbase.com/organization/celer-network,"Blockchain, FinTech","Singapore, Central Region, Singapore",Celer Network brings Internet Scale to Every Blockchain.,6100000,USD,6100000,Private,,,Active,https://www.celer.network,11-50,2100000,USD,2100000,Seed,4,"IOSG Ventures, Elysium Venture Capital, BlockVC, Consensus Lab, Chain Capital"
Eyeota,https://www.crunchbase.com/organization/eyeota,"Ad Targeting, Analytics, Big Data, Data Integration","Singapore, Central Region, Singapore",Eyeota is an audience technology platform that enables the intelligent use of data.,20500000,USD,20500000,Private,,,Active,http://www.eyeota.com,51-100,12500000,USD,12500000,Series B,6,"e.ventures, Project A Ventures, Global Brain Corporation, TA Ventures, Qualgro VC"
HATCHER+,https://www.crunchbase.com/organization/hatcher,"Artificial Intelligence, Big Data, FinTech, Incubators, Machine Learning, Venture Capital","Singapore, Central Region, Singapore",Hatcher+ is a data-driven venture investment platform.,14500000,USD,14500000,Private,,,Active,https://hq.hatcher.com,11-50,5500000,USD,5500000,Series A,4,"Alphacap Berhad, Mistletoe"
ONE Championship,https://www.crunchbase.com/organization/one-championship,"Broadcasting, Media and Entertainment, News, Sports","Singapore, Central Region, Singapore",ONE Championship is a sports media company.,176000000,USD,176000000,Private,,,Active,https://onefc.com/,251-500,70000000,USD,70000000,Venture - Series Unknown,3,"Sequoia Capital, Sequoia Capital India, Greenoaks Capital, Temasek Holdings, Heliconia Capital Management"
Vuulr,https://www.crunchbase.com/organization/vuulr,"Broadcasting, Content Syndication, Digital Entertainment, Digital Media, Marketplace","Singapore, Central Region, Singapore",Vuulr is a global marketplace transforming the Film and TV Content Ecosystem,1400000,SGD,1067558,Private,,,Active,https://www.vuulr.com/,11-50,1400000,SGD,1067558,Seed,1,
Glints,https://www.crunchbase.com/organization/glints,"Human Resources, Online Portals, Recruiting","Singapore, Central Region, Singapore",Glints is a talent recruitment and job matching platform.,9748220,USD,9748220,Private,,,Active,https://glints.com/,51-100,,,,Non-equity Assistance,9,"Monk’s Hill Ventures, 500 Startups, East Ventures, Taiwan Startup Stadium, Golden Equator Ventures"
DocDoc,https://www.crunchbase.com/organization/docdoc-com,"Fitness, Health Care, InsurTech, Medical, Wellness","Singapore, Central Region, Singapore",DocDoc is the world's first patient intelligence company.,24600000,USD,24600000,Private,,,Active,https://www.docdoc.com/,51-100,13000000,USD,13000000,Convertible Note,5,"Vectr, SparkLabs Global Ventures, Adamas Finance Asia, Cyberport Macro Fund, Yee How Choong"
