Organization/Person Name,Organization/Person Name URL,Location,Number of Exits,Description,Investor Type,Investment Stage,Industries,Number of Investments
KK Fund,https://www.crunchbase.com/organization/kk-fund-2,"Singapore, Central Region, Singapore",,"KK Fund is a venture capital fund investing in seed stage internet and mobile startups across South East Asia, Hong Kong and Taiwan.","Micro VC, Venture Capital",Seed,"Finance, Financial Services, Venture Capital",28
Infocomm Investments,https://www.crunchbase.com/organization/infocomm-investments,"Singapore, Central Region, Singapore",10,Infocomm Investments aims to enhance the technology depth and diversity of Singapore's tech building community.,Venture Capital,"Early Stage Venture, Late Stage Venture","Analytics, Big Data, E-Commerce, FinTech, Incubators, Venture Capital",27
Patamar Capital,https://www.crunchbase.com/organization/patamar-capital,"Singapore, Central Region, Singapore",,"Patamar Capital is a venture capital firm investing in early stage businesses serving the ""mass market"" in South and Southeast Asia.",Venture Capital,,Venture Capital,26
SeedPlus,https://www.crunchbase.com/organization/seedplus,"Singapore, Central Region, Singapore",1,SeedPlus is an early stage Singaporean fund with a hands on approach to working with its portfolio companies.,Micro VC,Seed,"Business Development, Financial Services, Venture Capital",25
EV Growth,https://www.crunchbase.com/organization/ev-growth,"Singapore, Central Region, Singapore",2,EV Growth is a growth fund located in south-east Asia.,Venture Capital,"Late Stage Venture, Venture",,25
January Capital,https://www.crunchbase.com/organization/january-capital,"Singapore, Central Region, Singapore",1,January Capital invest in second-order businesses that are powering growth in the Asia-Pacific region.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",,24
NGC Ventures,https://www.crunchbase.com/organization/ngc-ventures,"Singapore, Central Region, Singapore",,NGC Ventures is an investment firm.,Micro VC,,,23
PRYTEK,https://www.crunchbase.com/organization/prytek,"Singapore, Central Region, Singapore",2,Technology Distributor & Investment Company,Micro VC,"Early Stage Venture, Late Stage Venture","Artificial Intelligence, Cyber Security, EdTech, FinTech, Human Resources, Media and Entertainment",23
Eudaimonia Capital,https://www.crunchbase.com/organization/eudaimonia-capital,"Singapore, Central Region, Singapore",1,Eudaimonia Capital is an angel investments company that offers investments to early stage companies.,"Angel Group, Family Investment Office","Early Stage Venture, Seed",Angel Investment,22
LongHash Ventures,https://www.crunchbase.com/organization/longhash,"Singapore, Central Region, Singapore",1,LongHash Ventures is a global blockchain accelerator and VC fund.,"Accelerator, Venture Capital","Early Stage Venture, Seed","Blockchain, Financial Services, Information Technology, Internet",21
Decacorn Capital,https://www.crunchbase.com/organization/decacorn-capital,"Singapore, Central Region, Singapore",,Decacorn Capital is a Singapore domiciled cross-border technology venture funding initiative.,Venture Capital,Early Stage Venture,,21
Sistema Asia Capital,https://www.crunchbase.com/organization/sistema-asia-fund-2,"Singapore, Central Region, Singapore",2,Sistema Asia Capital is a proprietary venture capital fund of Russian conglomerate Sistema JSFC (www.sistema.com).,Venture Capital,"Early Stage Venture, Late Stage Venture",Venture Capital,21
Spring SEEDS Capital,https://www.crunchbase.com/organization/spring-seeds-capital,"Singapore, Central Region, Singapore",,"Spring SEEDS Capital provides capital for start-ups in Singapore involved in developing new products, processes and applications.",Venture Capital,Early Stage Venture,,21
Life.SREDA,https://www.crunchbase.com/organization/life-sreda,"Singapore, Central Region, Singapore",3,Life.SREDA is a Singaporean venture capital firm focused on investments in FinTech mobile and internet projects.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed","Banking, Enterprise Software, Financial Services, FinTech, Venture Capital",20
TNF Ventures,https://www.crunchbase.com/organization/tnf-ventures,"Singapore, Central Region, Singapore",2,TNF Ventures is an investment advisory firm focused on local startups in Singapore’s central region.,"Micro VC, Venture Capital","Early Stage Venture, Seed","Finance, Financial Services, Impact Investing",19
Majuven,https://www.crunchbase.com/organization/majuven,"Singapore, Central Region, Singapore",5,Majuven is an early and growth stage VC fund founded by experienced business leaders in Singapore in 2012.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed","Health Care, Venture Capital, Wellness",18
Crystal Horse Investments,https://www.crunchbase.com/organization/crystal-horse-investments,"Singapore, Central Region, Singapore",4,CHI engages in investment activities and financial services; a place providing ideas on how to manage and maximize money and assets.,"Micro VC, Venture Capital","Early Stage Venture, Seed","Consulting, Financial Services, Venture Capital",18
Vertex Management,https://www.crunchbase.com/organization/vertex-management-2,"Singapore, Central Region, Singapore",6,Vertex Management is a venture capital arm of Singapore Technologies Group is today a global venture capital firm.,Venture Capital,,,18
Dymon Asia Ventures,https://www.crunchbase.com/organization/dymon-asia-ventures,"Singapore, Central Region, Singapore",2,Dymon Asia Ventures partners with exceptional entrepreneurs that drive transformation in Financial Services.,Micro VC,Early Stage Venture,"Finance, Financial Services, Venture Capital",18
Expara IDM Ventures,https://www.crunchbase.com/organization/expara-idm-ventures,"Singapore, Central Region, Singapore",,Expara IDM Ventures is a provider of incubation and mentorship to early stage interactive and digital media companies in Singapore.,Venture Capital,,,17
FengHe Group,https://www.crunchbase.com/organization/fenghe-group,"Singapore, Central Region, Singapore",2,FengHe Group is a  leading Asian investment platform,Venture Capital,Late Stage Venture,"Finance, Financial Services",17
Cocoon Capital,https://www.crunchbase.com/organization/cocoon-capital,"Singapore, Central Region, Singapore",,Cocoon Capital is an early-stage venture capital firm investing in enterprise tech across Southeast Asia,Micro VC,"Early Stage Venture, Seed","Artificial Intelligence, Enterprise Applications, Enterprise Software, FinTech, InsurTech, Machine Learning, SaaS",17
Anthill Ventures,https://www.crunchbase.com/organization/anthill-ventures,"Singapore, Central Region, Singapore",1,"Anthill Ventures is a Speed Scaling Ecosystem which helps early growth startups in Pre-Series 'A'. We source, invest, scale and syndicate.","Accelerator, Venture Capital",Early Stage Venture,"Finance, Financial Services, Venture Capital",16
Atlas Ventures,https://www.crunchbase.com/organization/atlas-ventures,"Singapore, Central Region, Singapore",3,Atlas Ventures is an early stage VC fund,Venture Capital,Early Stage Venture,,16
August One,https://www.crunchbase.com/organization/august-one,"Singapore, Central Region, Singapore",2,August One is a private investment firm and a MAS regulated Venture Capital,"Family Investment Office, Private Equity Firm, Venture Capital","Debt, Early Stage Venture, Non Equity Assistance, Private Equity, Seed","CRM, Family, Finance, Financial Services, Information Technology, Venture Capital",16
LionRock Capital,https://www.crunchbase.com/organization/lionrock-capital,"Singapore, Central Region, Singapore",2,LionRock Capital is a family investment office based in Singapore.,Family Investment Office,,,16
SPH Media Fund,https://www.crunchbase.com/organization/sph-media-fund,"Singapore, Central Region, Singapore",1,"SPH Media Fund, the corporate venture arm of Singapore Press Holdings, is focused on investments in the consumer tech and media sector",Corporate Venture Capital,"Early Stage Venture, Late Stage Venture",,15
Golden Equator Ventures,https://www.crunchbase.com/organization/golden-equator-capital,"Singapore, Central Region, Singapore",4,Golden Equator Ventures is a Singapore-based venture capital firm that invests in high-growth technology companies in Southeast Asia.,Venture Capital,"Early Stage Venture, Late Stage Venture","Financial Services, Venture Capital",14
VisVires New Protein,https://www.crunchbase.com/organization/new-protein-capital,"Singapore, Central Region, Singapore",,Pioneers in deploying venture capital into transformative solutions addressing the bottlenecks in the global food and feed system.,Venture Capital,Venture,"AgTech, Aquaculture, Food and Beverage, Food Processing, Nutrition",14
Red Dot Ventures,https://www.crunchbase.com/organization/red-dot-ventures,"Singapore, Central Region, Singapore",1,"Red Dot Ventures is a venture capital firm investing in Singapore-based, seed stage high-tech startups.","Micro VC, Venture Capital",Seed,"Finance, Incubators, Venture Capital",14
Heritas Capital Management,https://www.crunchbase.com/organization/heritas-capital-management,"Singapore, Central Region, Singapore",,Heritas Capital Management is a Private equity firm in Singapore.,"Private Equity Firm, Venture Capital","Early Stage Venture, Late Stage Venture, Private Equity, Venture",,14
True Global Ventures (TGV),https://www.crunchbase.com/organization/true-global-ventures,"Singapore, Central Region, Singapore",4,"True Global Ventures invests in early-stage companies involved in internet, software and mobile technologies.",Venture Capital,Seed,Venture Capital,14
Innosight Ventures,https://www.crunchbase.com/organization/innosight-ventures,"Singapore, Central Region, Singapore",4,Innosight Ventures leverages more than 20 years of applied research by innovation thought leaders like Clayton Christensen and field work,Venture Capital,"Early Stage Venture, Seed","E-Commerce, Financial Services, Venture Capital",14
United Overseas Bank,https://www.crunchbase.com/organization/united-overseas-bank,"Singapore, Central Region, Singapore",4,United Overseas Bank is a bank in China that caters to SMEs with financial services.,Venture Debt,,"Banking, Finance, Financial Services",13
TRIVE,https://www.crunchbase.com/organization/trivevc,"Singapore, Central Region, Singapore",,TRIVE is a venture capital firm that invest in technology startups.,Micro VC,"Early Stage Venture, Seed","Analytics, Artificial Intelligence, Business Intelligence, Internet, Machine Learning, Venture Capital",13
Get2Volume,https://www.crunchbase.com/organization/get2volume,"Singapore, Central Region, Singapore",1,"Capabilities, capital and connections for Midwest and Singapore B2B technology companies",Venture Capital,"Early Stage Venture, Seed, Venture","Financial Services, FinTech, Venture Capital",13
Azione Capital Pte Ltd,https://www.crunchbase.com/organization/azione-capital-pte-ltd,"Singapore, Central Region, Singapore",,Azione Capital Pte Ltd is a seed stage venture capital investment company with its startup business incubator physically headquartered in,Venture Capital,Seed,"Financial Services, FinTech, Venture Capital",13
Iterative,https://www.crunchbase.com/organization/iterative-capital-e970,"Singapore, Central Region, Singapore",,Iterative is an accelerator focused exclusively on Southeast Asia.,"Accelerator, Venture Capital","Early Stage Venture, Seed",,12
IncuVest,https://www.crunchbase.com/organization/incuvest-pte-ltd,"Singapore, Central Region, Singapore",1,IncuVest is a Singapore-based early and growth-stage tech investment platform,"Angel Group, Venture Capital","Convertible Note, Early Stage Venture, Venture","Advanced Materials, Artificial Intelligence, Augmented Reality, Internet of Things, Machine Learning, Medical Device, Semiconductor, Venture Capital",12
MassMutual Ventures Southeast Asia (MMV SEA),https://www.crunchbase.com/organization/massmutual-ventures-southeast-asia-mmv-sea,"Singapore, Central Region, Singapore",0,MassMutual Ventures Southeast Asia (MMV SEA) is the regional arm of MassMutual Ventures.,"Corporate Venture Capital, Venture Capital","Early Stage Venture, Late Stage Venture",,12
500 Durians,https://www.crunchbase.com/organization/500-durians-2,"Singapore, Central Region, Singapore",,"500 Durians is a venture capital firm that helps entrepreneur create successful companies at scale, and build thriving global ecosystems. ",Venture Capital,,"Finance, Financial Services, FinTech, Venture Capital",12
Nodex Capital,https://www.crunchbase.com/organization/nodex-capital,"Singapore, Central Region, Singapore",,Nodex Capital was founded by Singaporean partners experienced in entrepreneurship and capital markets,"Syndicate, Venture Capital","Seed, Venture","Blockchain, Information Technology, Internet",12
Pix Vine Capital,https://www.crunchbase.com/organization/pix-vine-capital,"Singapore, Central Region, Singapore",2,"Pix Vine Capital is a Singaporean early-stage venture capital firm that seeks to invest in infotech, medtech, and fintech.",Corporate Venture Capital,,"Angel Investment, Finance, Financial Services, Impact Investing, Venture Capital",12
Expara Thailand,https://www.crunchbase.com/organization/expara-thailand,"Singapore, Central Region, Singapore",1,Expara Thailand is a venture capital providing both investment and services to the enterprise ecosystem.,Venture Capital,Early Stage Venture,"Financial Services, FinTech, Government, Venture Capital",12
Capikris Foundation,https://www.crunchbase.com/organization/capikris-foundation,"Singapore, Central Region, Singapore",,"Experienced Investor in seed, pre-series A, series A and follow on stages; global, scalable and relevant technologies","Angel Group, Family Investment Office","Early Stage Venture, Seed","Analytics, Angel Investment, Impact Investing, Internet, Medical, Quantum Computing",12
Basil Partners,https://www.crunchbase.com/organization/basil-partners,"Singapore, Central Region, Singapore",5,Basil is a venture capital fund investor that identifies and invests in niche technologies that are disrupting the IT services space.,"Micro VC, Venture Capital",Early Stage Venture,,11
Signum Capital,https://www.crunchbase.com/organization/signum-capital,"Singapore, Central Region, Singapore",,Signum Capital is a Singapore-based firm that exclusively consults in Blockchain-enabled companies.,Venture Capital,"Early Stage Venture, Late Stage Venture",,11
Accelerating Asia,https://www.crunchbase.com/organization/accelerating-asia,"Singapore, Central Region, Singapore",,Accelerating Asia is an early-stage Venture Capital Fund with a focus on pre-Series A startups in Southeast and South Asia.,"Accelerator, Venture Capital","Early Stage Venture, Seed",Financial Services,11
SEGNEL Ventures,https://www.crunchbase.com/organization/segnel-ventures,"Singapore, Central Region, Singapore",2,SEGNEL provides seed and venture-stage funding to brilliant entrepreneurs and companies across the South Asian and South East Asian Region,"Micro VC, Venture Capital","Early Stage Venture, Seed","Digital Media, E-Commerce, EdTech, Local, Marketplace, Mobile",11
Govin Capital Pte Ltd,https://www.crunchbase.com/organization/govin-capital,"Singapore, Central Region, Singapore",1,Govin capital is an venture company that aims to add value to innovative Startups by mking investments with access to mentors & markets,Venture Capital,"Early Stage Venture, Seed","Artificial Intelligence, Biotechnology, Education, Health Care, Health Diagnostics, Health Insurance, Information Technology, Medical, Venture Capital",11
Coent Venture Partners,https://www.crunchbase.com/organization/coent-venture-partners,"Singapore, Central Region, Singapore",1,"COENT is a venture capital organization that provides management, overseas business development, and capital for entrepreneurs.","Micro VC, Venture Capital","Early Stage Venture, Seed","Financial Services, FinTech, Venture Capital",11
Tanglin Venture Partners,https://www.crunchbase.com/organization/tanglin-venture-partners,"Singapore, Central Region, Singapore",,Tanglin Venture Partners provides investment advisory services.,Micro VC,,Venture Capital,10
LuneX Ventures,https://www.crunchbase.com/organization/lunex-ventures,"Singapore, Central Region, Singapore",,LuneX has a global mandate to invest exclusively in high-growth blockchain companies and cryptocurrency assets.,Micro VC,,"Finance, Financial Services, Venture Capital",10
BioVeda Capital,https://www.crunchbase.com/organization/bioveda-capital,"Singapore, Central Region, Singapore",5,"BioVeda is a Singapore based firm. They invest in companies in the healthcare sector with leading market positions, proprietary",Venture Capital,Early Stage Venture,"Health Care, Impact Investing, Life Science, Medical",10
Alps Ventures,https://www.crunchbase.com/organization/alps-ventures,"Singapore, Central Region, Singapore",1,Alps Ventures is a venture builder headquartered in Singapore with investments in Southeast Asia.,"Incubator, Venture Capital",Seed,"Finance, Incubators",10
GTR Ventures,https://www.crunchbase.com/organization/gtr-ventures,"Singapore, Central Region, Singapore",,"Venture and Debt Capital for Trade, Trade finance, and SME finance","Corporate Venture Capital, Venture Capital","Debt, Early Stage Venture, Seed","Angel Investment, Financial Services, Social Media, Venture Capital",10
Accelerasia Ventures,https://www.crunchbase.com/organization/accelerasia-ventures,"Singapore, Central Region, Singapore",,Accelerasia Ventures,Venture Capital,Early Stage Venture,,9
TNB AURA,https://www.crunchbase.com/organization/tnb-ventures-pte-ltd,"Singapore, Central Region, Singapore",1,Next generation Venture Capital for Southeast Asia,Venture Capital,Early Stage Venture,"Artificial Intelligence, E-Commerce, EdTech, FinTech, Health Care, Industrial Automation, Internet of Things, Logistics, Smart Building, Smart Cities",9
TRIREC,https://www.crunchbase.com/organization/trirec,"Singapore, Central Region, Singapore",,TRIREC is an investment holding company incorporated in the Republic of Singapore with key focus on renewable energy and clean technology.,Venture Capital,,,9
HH Investments VC,https://www.crunchbase.com/organization/hh-investments,"Singapore, Central Region, Singapore",,Venture Capital firm with focus on early stage technology ventures that solve meaningful problems.,"Family Investment Office, Venture Capital","Convertible Note, Early Stage Venture, Seed",,9
Hera Capital,https://www.crunchbase.com/organization/hera-capital,"Singapore, Central Region, Singapore",1,"Hera Capital is a Registered Fund Management Company, registered with the Monetary Authority of Singapore",Venture Capital,,Finance,9
Raffle Venture Partners,https://www.crunchbase.com/organization/raffle-venture-partners,"Singapore, Central Region, Singapore",1,Raffle Venture Partners is a Singapore-based venture capital company specialized in late stage investments.,Venture Capital,Late Stage Venture,"Asset Management, Finance, Real Estate Investment",9
Plug and Play Asia Pacific,https://www.crunchbase.com/organization/plug-and-play-asia-pacific,"Singapore, Central Region, Singapore",,Plug & Play’s Asia Pacific headquarters is located in Singapore. Launched in 2010 to invest in high tech startups.,"Accelerator, Venture Capital",Early Stage Venture,"Automotive, FinTech, Hospitality, InsurTech, Internet of Things, Mobile, Retail Technology, Travel",9
Neoteny Labs,https://www.crunchbase.com/organization/neoteny-labs,"Singapore, Central Region, Singapore",4,Neoteny Labs is an early stage fund focused on consumer Internet startups in Asia and the Middle East.,Micro VC,"Early Stage Venture, Seed","Banking, Finance, Venture Capital",9
Gayo Capital,https://www.crunchbase.com/organization/gayo-capital,"Singapore, Central Region, Singapore",,Investing Tomorrow's Winner,"Accelerator, Venture Capital, Venture Debt","Convertible Note, Debt, Early Stage Venture, Seed, Venture","Agriculture, Aquaculture, Drones, Education, Impact Investing, Lifestyle, Logistics, Supply Chain Management, Waste Management",8
Asia Africa Investment & Consulting,https://www.crunchbase.com/organization/asia-africa-investment-consulting,"Singapore, Central Region, Singapore",,Asia Africa Investment & Consulting is an investment firm,Venture Capital,"Early Stage Venture, Late Stage Venture",Health Care,8
PSA Unboxed,https://www.crunchbase.com/organization/psa-unboxed,"Singapore, Central Region, Singapore",,PSA unboXed is the external innovation and Venture capital arm of PSA International.,Corporate Venture Capital,"Early Stage Venture, Seed",Venture Capital,8
Startup-O,https://www.crunchbase.com/organization/startup-o,"Singapore, Central Region, Singapore",,"Global Venture Builder - Assessment, Investment & Cross Border Scaling",Venture Capital,"Early Stage Venture, Seed","Analytics, Internet, Venture Capital",8
Cardinal Capital,https://www.crunchbase.com/organization/cardinal-capital,"Singapore, Central Region, Singapore",,"Blockchain, Cryptocurrency, Fintech",Venture Capital,"Early Stage Venture, Initial Coin Offering, Seed","Blockchain, Cryptocurrency, Finance, Financial Services, Information Technology",8
Rekanext,https://www.crunchbase.com/organization/rekanext,"Singapore, Central Region, Singapore",,Rekanext is an early stage VC fund focusing in Southeast Asia.,Venture Capital,"Early Stage Venture, Seed",,8
8capita Partners,https://www.crunchbase.com/organization/8capita-partners,"Singapore, Central Region, Singapore",2,8capita Partners is a Singapore-based venture capital firm that invests in early-stage internet and mobile companies.,Venture Capital,Seed,Venture Capital,8
Gunosy Capital,https://www.crunchbase.com/organization/gunosy-capital,"Singapore, Central Region, Singapore",,Gunosy Capital is a firm.,Corporate Venture Capital,Venture,,8
Saison Capital,https://www.crunchbase.com/organization/saison-capital,"Singapore, Central Region, Singapore",,Saison Capital is a venture capital arm of Credit Saison.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed","Financial Services, FinTech",7
SPH Ventures,https://www.crunchbase.com/organization/sph-ventures,"Singapore, Central Region, Singapore",,SPH Ventures is a S$100 million venture capital fund set up by Singapore Press Holdings Limited.,Venture Capital,Early Stage Venture,Venture Capital,7
Genesis Alternative Ventures,https://www.crunchbase.com/organization/genesis-alternative-ventures,"Singapore, Central Region, Singapore",1,Empowering growth and minimising dilution. Debt capital for Southeast Asia’s leading venture-backed companies.,"Venture Capital, Venture Debt","Debt, Early Stage Venture, Late Stage Venture",Venture Capital,7
Serendipity Capital,https://www.crunchbase.com/organization/serendipity-capital,"Singapore, Central Region, Singapore",,Serendipity Capital is a financial services principal investing firm.,"Private Equity Firm, Venture Capital","Early Stage Venture, Private Equity, Seed, Venture","Financial Services, FinTech, Sustainability, Venture Capital",7
Vertex Growth Fund,https://www.crunchbase.com/organization/vertex-growth-fund,"Singapore, Central Region, Singapore",,Vertex Growth Fund is an investment firm.,Venture Capital,,"Finance, Financial Services",7
VinaCapital Investment Management,https://www.crunchbase.com/organization/vinacapital-investment-management,"Singapore, Central Region, Singapore",1,VinaCapital Investment Management is the leading investment management and real estate development firm in Vietnam.,Venture Capital,,"Crowdfunding, Financial Services, Real Estate, Venture Capital",7
Accel X,https://www.crunchbase.com/organization/accel-x,"Singapore, Central Region, Singapore",,"Accel-X Pte Ltd, is a venture capital fund that invests in early stage technology companies that are highly scalable.",Venture Capital,"Early Stage Venture, Seed",Venture Capital,7
